FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,NODEID,nodeX,nodeY,STREET1,STREET2
131,1,131,1,0,0,1,2016,38540,1055964.828,172110.9728,BROOKVILLE BOULEVARD,ROCKAWAY BOULEVARD
132,1,132,1,0,0,1,2016,53456,1021999.402,254634.9485,ALLERTON AVENUE,BARNES AVENUE
133,1,133,1,1,0,0,2016,21554,989203.4153,219715.1607,BROADWAY,WEST 61 STREET
134,1,134,1,1,0,0,2016,34174,1037001.35,187000.6438,131 STREET,115 AVENUE
135,1,135,1,1,0,0,2016,21775,990139.8045,201568.5047,COLUMBIA STREET,EAST HOUSTON STREET
136,1,136,1,1,0,0,2016,48409,1018109.741,240290.2107,WATSON AVENUE,BOYNTON AVENUE
137,1,137,1,1,0,0,2016,21734,989425.8263,223826.0117,BROADWAY,WEST 75 STREET
138,1,138,1,1,0,0,2016,35485,1042851.623,155178.3921,ROCKAWAY FREEWAY,BEACH 59 STREET
139,1,139,1,0,1,0,2016,26690,1000887.817,180838.4218,ALBANY AVENUE,LEFFERTS AVENUE
140,1,140,3,0,0,3,2016,3394,934757.5238,157860.287,TRAVIS AVENUE,VICTORY BOULEVARD
141,1,141,1,0,1,0,2016,5043,946178.2959,148032.2289,ANDREWS AVENUE,RICHMOND ROAD
142,1,142,1,1,0,0,2016,44087,1007046.784,245787.2043,MACOMBS ROAD,PLAZA DRIVE
143,1,143,1,1,0,0,2016,47512,1015377.269,238959.5015,LONGFELLOW AVENUE,BRUCKNER BOULEVARD
144,1,144,1,0,0,1,2016,22528,990305.8179,217267.7148,WEST 55 STREET,AVENUE OF THE AMERICAS
145,1,145,1,1,0,0,2016,20853,987580.2069,209196.7313,EAST 23 STREET,MADISON AVENUE
146,1,146,1,1,0,0,2016,13858,981674.2013,173413.5486,6 AVENUE,52 STREET
147,1,147,1,0,0,1,2016,33940,1034290.568,186708.3642,LINDEN BOULEVARD,120 STREET
148,1,148,1,1,0,0,2016,21381,987127.012,211529.7702,WEST 30 STREET,AVENUE OF THE AMERICAS
149,1,149,1,1,0,0,2016,12988,987979.7104,157335.1102,25 AVENUE,85 STREET
150,1,150,1,1,0,0,2016,47622,1017371.665,238522.0876,STORY AVENUE,COLGATE AVENUE
151,1,151,1,1,0,0,2016,26509,1007120.285,177671.4403,LINDEN BOULEVARD,CHURCH AVENUE
152,1,152,1,1,0,0,2016,23785,999041.4793,223708.4959,1 AVENUE,EAST 92 STREET
153,1,153,1,1,0,0,2016,33760,1031686.836,187184.0325,111 STREET,109 AVENUE
