FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,MN,YR,NODEID,nodeX,nodeY,STREET1,STREET2
131,1,131,1,1,0,0,8,2016,14150,986092.063199999980000,172900.311699999990000,43 STREET,FT HAMILTON PARKWAY
132,1,132,1,1,0,0,8,2016,48409,1018109.741000000000000,240290.210700000000000,WATSON AVENUE,BOYNTON AVENUE
133,1,133,1,0,1,0,8,2016,26690,1000887.817400000100000,180838.421800000010000,ALBANY AVENUE,LEFFERTS AVENUE
134,1,134,1,1,0,0,8,2016,40160,1056199.630700000100000,195662.857099999990000,MURDOCK AVENUE,SPRINGFIELD BOULEVARD
135,1,135,1,1,0,0,8,2016,25714,1005769.024500000100000,161455.800500000010000,FLATBUSH AVENUE,AVENUE U
136,1,136,1,0,1,0,8,2016,61734,1051156.297899999900000,216984.195000000010000,223 STREET,NORTHERN BOULEVARD
137,1,137,1,1,0,0,8,2016,20911,988423.538199999950000,206090.916600000000000,2 AVENUE,EAST 14 STREET
138,1,138,1,1,0,0,8,2016,46770,1017132.354500000000000,214046.353100000010000,86 STREET,34 AVENUE
139,1,139,1,1,0,0,8,2016,15812,986186.144399999990000,199535.602000000010000,ALLEN STREET,DIVISION STREET
140,1,140,1,1,0,0,9,2016,108589,1030009.050900000000000,186102.098999999990000,CENTREVILLE STREET,103 STREET
141,1,141,1,1,0,0,9,2016,21533,989925.388900000020000,216584.333600000010000,WEST 52 STREET,AVENUE OF THE AMERICAS
142,1,142,1,1,0,0,9,2016,36624,1046070.760200000000000,181129.838900000000000,144 TERRACE,ROCKAWAY BOULEVARD
143,1,143,1,1,0,0,9,2016,28911,1014932.440900000000000,178651.385899999990000,PENNSYLVANIA AVENUE,STANLEY AVENUE
144,1,144,1,1,0,0,9,2016,17461,994810.808599999990000,160732.321300000010000,QUENTIN ROAD,CONEY ISLAND AVENUE
145,1,145,1,1,0,0,9,2016,42121,1002397.568400000000000,229765.255100000010000,1 AVENUE,EAST 118 STREET
146,1,146,1,1,0,0,9,2016,12842,985968.589099999980000,158583.254099999990000,BAY PARKWAY,86 STREET
147,1,147,1,1,0,0,9,2016,10803,963251.706000000010000,167595.935900000010000,BAY STREET,CANAL STREET
148,1,148,1,1,0,0,9,2016,22932,995022.288199999950000,219470.065399999990000,EAST 71 STREET,3 AVENUE
149,1,149,1,1,0,0,9,2016,35485,1042851.623300000000000,155178.392100000000000,ROCKAWAY FREEWAY,BEACH 59 STREET
150,1,150,1,0,0,1,9,2016,33940,1034290.567600000000000,186708.364200000010000,LINDEN BOULEVARD,120 STREET
151,1,151,1,1,0,0,9,2016,24089,996841.926600000010000,234635.340499999990000,MORNINGSIDE AVENUE,WEST 124 STREET
152,1,152,1,1,0,0,9,2016,24918,1001812.582300000000000,157448.062800000010000,COYLE STREET,AVENUE V
153,1,153,1,0,0,1,10,2016,21041,982009.594399999940000,211104.725500000000000,11 AVENUE,WEST 19 STREET
154,1,154,1,1,0,0,10,2016,52832,1025146.275200000000000,244015.767300000010000,STARLING AVENUE,CASTLE HILL AVENUE
155,1,155,1,1,0,0,10,2016,22565,991677.944099999960000,211408.366600000010000,EAST 38 STREET,QUEENS MIDTOWN TUNNEL APPROACH
156,1,156,1,1,0,0,10,2016,55439,1030444.496200000100000,217145.815399999990000,NORTHERN BOULEVARD,PRINCE STREET
157,1,157,1,0,0,1,10,2016,6675,948851.820500000030000,163602.108500000000000,CROWELL AVENUE,WESTCOTT BOULEVARD
158,1,158,1,1,0,0,10,2016,15139,980679.177099999970000,195276.358500000000000,WATER STREET,WHITEHALL STREET
159,1,159,1,1,0,0,10,2016,46864,1018509.287400000000000,217348.167400000010000,ASTORIA BOULEVARD,93 STREET
160,1,160,1,1,0,0,10,2016,42513,1001518.315200000000000,235386.478800000010000,WEST 135 STREET,5 AVENUE
161,1,161,1,1,0,0,10,2016,31820,1027860.360900000000000,183638.708600000010000,ALBERT ROAD,CROSS BAY BOULEVARD
162,1,162,1,1,0,0,10,2016,43109,1007843.459400000100000,239931.477900000000000,COURTLANDT AVENUE,EAST 162 STREET
163,1,163,1,1,0,0,10,2016,44769,1009410.050700000000000,253587.847899999990000,WEST FORDHAM ROAD,SEDGWICK AVENUE
164,1,164,1,1,0,0,10,2016,17422,993641.122899999960000,166857.141399999990000,AVENUE J,EAST 10 STREET
165,1,165,1,1,0,0,10,2016,23781,999285.474799999970000,222676.864100000010000,EAST 89 STREET,YORK AVENUE
166,1,166,1,1,0,0,10,2016,24397,999628.623799999940000,243378.895500000010000,BROADWAY,WEST 158 STREET
