FID,YR,NODEID,Lon,Lat,Injuries_COUNT,PedInjurie_COUNT,BikeInjuri_COUNT,MVOInjurie_COUNT,Injuries,PedInjurie,BikeInjuri,MVOInjurie
2916,2016,51426,-73.83567554,40.74485052,3,0,0,3,1,0,0,1
2917,2016,31781,-73.84766236,40.68379426,2,2,0,0,1,1,0,0
2918,2016,29056,-73.87859203,40.65970104,4,0,0,4,1,0,0,1
2919,2016,30084,-73.89952294,40.70287283,1,0,0,1,1,0,0,1
2920,2016,23938,-73.96156938,40.81120536,1,1,0,0,1,1,0,0
2921,2016,31312,-73.86391883,40.67394232,1,0,0,1,1,0,0,1
2922,2016,40870,-73.92814551,40.73668649,1,0,0,1,1,0,0,1
2923,2016,13699,-73.98553039,40.62375813,2,1,1,0,1,1,1,0
2924,2016,15062,-73.98227687,40.67400015,1,1,0,0,1,1,0,0
2925,2016,30313,-73.88690096,40.70479619,1,0,0,1,1,0,0,1
2926,2016,27580,-73.92978731,40.70071816,1,0,0,1,1,0,0,1
2927,2016,34915,-73.81429413,40.70253111,8,2,1,5,1,1,1,1
2928,2016,10361,-74.08720983,40.61330697,2,1,0,1,1,1,0,1
2929,2016,20653,-73.99700719,40.74222816,3,1,1,1,1,1,1,1
2930,2016,3260,-74.19262603,40.59057971,3,0,0,3,1,0,0,1
2931,2016,22226,-73.95261222,40.73539367,4,0,0,4,1,0,0,1
2932,2016,46488,-73.89466106,40.75458344,1,1,0,0,1,1,0,0
2933,2016,55799,-73.8147911,40.76236123,2,0,0,2,1,0,0,1
2934,2016,52891,-73.85121831,40.8486015,3,0,0,3,1,0,0,1
2935,2016,9351,-74.11275295,40.6431123,1,0,1,0,1,0,1,0
2936,2016,18961,-73.95310242,40.67179014,3,0,2,1,1,0,1,1
2937,2016,36921,-73.76404719,40.67284567,1,0,0,1,1,0,0,1
2938,2016,27277,-73.90830999,40.67460548,1,0,0,1,1,0,0,1
2939,2016,40940,-73.92178252,40.7316562,1,1,0,0,1,1,0,0
2940,2016,20240,-74.00611672,40.72374573,2,0,0,2,1,0,0,1
2941,2016,25671,-73.92881956,40.61882987,2,0,1,1,1,0,1,1
2942,2016,53546,-73.86333198,40.87137516,1,1,0,0,1,1,0,0
2943,2016,36119,-73.76606703,40.65786625,1,0,0,1,1,0,0,1
2944,2016,17317,-73.97451589,40.62939875,2,1,1,0,1,1,1,0
2945,2016,53673,-73.85356809,40.86108815,1,0,0,1,1,0,0,1
2946,2016,30195,-73.89528338,40.70758845,1,1,0,0,1,1,0,0
2947,2016,55898,-73.81125478,40.77000997,2,0,0,2,1,0,0,1
2948,2016,50385,-73.84397816,40.72145464,9,7,0,2,1,1,0,1
2949,2016,33714,-73.83332501,40.678657,1,1,0,0,1,1,0,0
2950,2016,30072,-73.89975934,40.70050523,1,0,1,0,1,0,1,0
2951,2016,15074,-73.97959807,40.67768,3,1,2,0,1,1,1,0
2952,2016,61748,-73.75698289,40.7622606,9,2,1,6,1,1,1,1
2953,2016,20100,-74.0093176,40.72470155,1,0,0,1,1,0,0,1
2954,2016,56926,-73.81723416,40.81904531,1,0,0,1,1,0,0,1
2955,2016,13846,-74.01057236,40.63796466,2,1,1,0,1,1,1,0
2956,2016,24296,-73.94514131,40.81842372,6,0,1,5,1,0,1,1
2957,2016,18630,-73.97450396,40.6807332,5,0,1,4,1,0,1,1
2958,2016,61761,-73.75257069,40.74821818,1,1,0,0,1,1,0,0
2959,2016,9036157,-73.90411635,40.68151453,4,0,0,4,1,0,0,1
2960,2016,48968,-73.88595114,40.85885045,6,1,1,4,1,1,1,1
2961,2016,21546,-73.98171762,40.76710877,1,1,0,0,1,1,0,0
2962,2016,43490,-73.93868005,40.84543913,3,1,0,2,1,1,0,1
2963,2016,47238,-73.90410646,40.82029665,1,1,0,0,1,1,0,0
2964,2016,36913,-73.76613025,40.67324787,5,0,0,5,1,0,0,1
2965,2016,55705,-73.81807772,40.76147327,2,1,1,0,1,1,1,0
2966,2016,24267,-73.94459915,40.80322505,3,0,0,3,1,0,0,1
2967,2016,54592,-73.83822701,40.88864452,1,0,1,0,1,0,1,0
2968,2016,39099,-73.74884601,40.68744748,4,0,0,4,1,0,0,1
2969,2016,40488,-73.72642935,40.6555971,1,0,0,1,1,0,0,1
2970,2016,26373,-73.92464346,40.65818316,1,0,0,1,1,0,0,1
2971,2016,26406,-73.920984,40.64497444,3,0,0,3,1,0,0,1
2972,2016,17943,-73.97464224,40.64481322,11,4,0,7,1,1,0,1
2973,2016,22842,-73.96246999,40.76718493,3,0,1,2,1,0,1,1
2974,2016,18528,-73.97734253,40.6640119,2,0,0,2,1,0,0,1
2975,2016,20728,-73.99021191,40.73199633,1,1,0,0,1,1,0,0
2976,2016,61669,-73.76110106,40.76154897,1,0,0,1,1,0,0,1
2977,2016,62691,-73.71977587,40.7390353,1,0,0,1,1,0,0,1
2978,2016,44685,-73.91388865,40.85628892,1,0,0,1,1,0,0,1
2979,2016,34893,-73.81630868,40.70140121,5,1,0,4,1,1,0,1
2980,2016,3783,-74.16918689,40.6205472,3,0,0,3,1,0,0,1
2981,2016,37959,-73.75764075,40.59587847,1,1,0,0,1,1,0,0
2982,2016,23738,-73.94838605,40.79225594,1,0,0,1,1,0,0,1
2983,2016,19270,-73.97114275,40.68954382,2,0,2,0,1,0,1,0
2984,2016,59629,-73.77558824,40.74300616,1,0,0,1,1,0,0,1
2985,2016,51880,-73.8407608,40.79250035,2,0,0,2,1,0,0,1
2986,2016,67432,-73.78484334,40.67390332,1,0,0,1,1,0,0,1
2987,2016,31269,-73.86813983,40.68266525,3,0,0,3,1,0,0,1
2988,2016,31420,-73.86234581,40.67916478,2,0,0,2,1,0,0,1
2989,2016,35742,-73.7633345,40.59782287,1,1,0,0,1,1,0,0
2990,2016,42827,-73.92513703,40.80585956,3,0,0,3,1,0,0,1
2991,2016,19839,-73.9487471,40.70159424,6,0,1,5,1,0,1,1
2992,2016,18432,-73.9492859,40.64814095,2,0,0,2,1,0,0,1
2993,2016,25013,-73.93144505,40.58634568,1,0,0,1,1,0,0,1
2994,2016,18605,-73.97231721,40.6700291,1,1,0,0,1,1,0,0
2995,2016,13098,-73.9819384,40.57919971,4,2,0,2,1,1,0,1
2996,2016,11656,-74.031658,40.62919908,1,1,0,0,1,1,0,0
2997,2016,35108,-73.80904927,40.70183561,4,2,0,2,1,1,0,1
2998,2016,18781,-73.96295345,40.67358913,4,2,0,2,1,1,0,1
2999,2016,53866,-73.84769156,40.87948812,1,1,0,0,1,1,0,0
3000,2016,44793,-73.90837698,40.87568337,8,1,2,5,1,1,1,1
3001,2016,47401,-73.89294687,40.82413931,5,2,2,1,1,1,1,1
3002,2016,58598,-73.79288105,40.73979605,1,0,1,0,1,0,1,0
3003,2016,25782,-73.9215937,40.61477818,2,0,0,2,1,0,0,1
3004,2016,31080,-73.84648362,40.65476458,1,0,0,1,1,0,0,1
3005,2016,17167,-73.94663212,40.59990896,8,1,0,7,1,1,0,1
3006,2016,48845,-73.89544264,40.86660209,2,0,0,2,1,0,0,1
3007,2016,36964,-73.7646542,40.68408117,1,0,0,1,1,0,0,1
3008,2016,43906,-73.92362161,40.84423809,1,0,0,1,1,0,0,1
3009,2016,54105,-73.83660629,40.87942035,1,1,0,0,1,1,0,0
3010,2016,35001,-73.81060059,40.69960071,1,0,0,1,1,0,0,1
3011,2016,20905,-73.9854439,40.73165781,1,0,1,0,1,0,1,0
3012,2016,34370,-73.80258656,40.68184566,2,0,0,2,1,0,0,1
3013,2016,13952,-74.00616296,40.65262685,7,0,0,7,1,0,0,1
3014,2016,11398,-74.01728367,40.60513783,5,0,0,5,1,0,0,1
3015,2016,36237,-73.79218447,40.66704189,1,0,0,1,1,0,0,1
3016,2016,36917,-73.76520652,40.67338926,1,0,0,1,1,0,0,1
3017,2016,46693,-73.88298926,40.74703972,2,2,0,0,1,1,0,0
3018,2016,2046,-74.19023491,40.53274195,2,0,0,2,1,0,0,1
