FID,MN,YR,NODEID,Lon,Lat,Injuries_COUNT,PedInjurie_COUNT,BikeInjuri_COUNT,MVOInjurie_COUNT,Injuries,PedInjurie,BikeInjuri,MVOInjurie
141511,2,2016,48365,-73.8792524,40.83442479,2,1,0,1,1,1,0,1
1350,9,2016,48367,-73.87856459,40.83418399,1,1,0,0,1,1,0,0
158485,12,2016,48367,-73.87856459,40.83418399,1,0,1,0,1,0,1,0
219188,1,2016,48368,-73.8811355,40.83862214,1,0,0,1,1,0,0,1
157402,12,2016,48381,-73.8814624,40.83969287,4,0,0,4,1,0,0,1
83696,5,2016,48382,-73.88151103,40.84066579,1,1,0,0,1,1,0,0
62593,6,2016,48384,-73.88029927,40.8401296,1,0,1,0,1,0,1,0
83947,5,2016,48384,-73.88029927,40.8401296,2,0,0,2,1,0,0,1
124045,3,2016,48384,-73.88029927,40.8401296,5,1,0,4,1,1,0,1
142471,2,2016,48384,-73.88029927,40.8401296,1,1,0,0,1,1,0,0
158242,12,2016,48384,-73.88029927,40.8401296,1,0,0,1,1,0,0,1
218146,1,2016,48384,-73.88029927,40.8401296,9,0,0,9,1,0,0,1
500,9,2016,48386,-73.87937679,40.84095248,1,1,0,0,1,1,0,0
62778,6,2016,48390,-73.87884499,40.84152297,1,0,0,1,1,0,0,1
22619,8,2016,48400,-73.87817547,40.8426177,1,0,1,0,1,0,1,0
85119,5,2016,48400,-73.87817547,40.8426177,3,0,0,3,1,0,0,1
106329,4,2016,48400,-73.87817547,40.8426177,1,1,0,0,1,1,0,0
1765,9,2016,48409,-73.87765492,40.8261517,1,0,0,1,1,0,0,1
84678,5,2016,48409,-73.87765492,40.8261517,1,1,0,0,1,1,0,0
105834,4,2016,48409,-73.87765492,40.8261517,1,1,0,0,1,1,0,0
217830,1,2016,48410,-73.87672521,40.82627813,2,0,0,2,1,0,0,1
83896,5,2016,48413,-73.8772993,40.82874277,1,0,0,1,1,0,0,1
141990,2,2016,48414,-73.87640135,40.82897729,1,1,0,0,1,1,0,0
105891,4,2016,48415,-73.87550702,40.82923413,1,1,0,0,1,1,0,0
130,9,2016,48417,-73.87460868,40.82950291,1,0,1,0,1,0,1,0
123044,3,2016,48417,-73.87460868,40.82950291,1,0,1,0,1,0,1,0
104545,4,2016,48419,-73.87699332,40.83151444,1,1,0,0,1,1,0,0
62899,6,2016,48420,-73.87606852,40.83164155,1,0,0,1,1,0,0,1
197483,10,2016,48420,-73.87606852,40.83164155,1,0,0,1,1,0,0,1
352,9,2016,48427,-73.87474282,40.83413044,1,0,1,0,1,0,1,0
104293,4,2016,48427,-73.87474282,40.83413044,1,1,0,0,1,1,0,0
