FID,YR,NODEID,Lon,Lat,Fatalities_COUNT,PedFatalit_COUNT,BikeFatali_COUNT,MVOFatalit_COUNT,Fatalities,PedFatalit,BikeFatali,MVOFatalit
124,2016,19748,-73.95248891,40.69500377,1,1,0,0,1,1,0,0
125,2016,9171,-74.0901083,40.60940339,1,1,0,0,1,1,0,0
126,2016,14150,-73.99336254,40.641247799999995,1,1,0,0,1,1,0,0
127,2016,22932,-73.96110997,40.76906441,2,2,0,0,1,1,0,0
128,2016,23529,-73.95889591,40.77496016,1,1,0,0,1,1,0,0
129,2016,48135,-73.89045917,40.84893253,1,1,0,0,1,1,0,0
130,2016,24397,-73.94442546,40.83468077,1,1,0,0,1,1,0,0
131,2016,38540,-73.74160078,40.6387911,1,0,0,1,1,0,0,1
132,2016,53456,-73.86351971,40.86550798,1,0,0,1,1,0,0,1
133,2016,21554,-73.98211704,40.76974231,1,1,0,0,1,1,0,0
134,2016,34174,-73.80981228,40.67979311,1,1,0,0,1,1,0,0
135,2016,21775,-73.97875235,40.71993371,1,1,0,0,1,1,0,0
136,2016,48409,-73.87765492,40.826151700000004,1,1,0,0,1,1,0,0
137,2016,21734,-73.98131092,40.78102538,1,1,0,0,1,1,0,0
138,2016,35485,-73.78899637,40.59241127,1,1,0,0,1,1,0,0
139,2016,26690,-73.94002977,40.66302074,1,0,1,0,1,0,1,0
140,2016,3394,-74.17822457,40.59982806,3,0,0,3,1,0,0,1
141,2016,5043,-74.13704258,40.57290845,1,0,1,0,1,0,1,0
142,2016,44087,-73.91760989,40.84127484,1,1,0,0,1,1,0,0
143,2016,47512,-73.8875343,40.82250934,1,1,0,0,1,1,0,0
144,2016,22528,-73.97813932,40.76302401,1,0,0,1,1,0,0,1
145,2016,20853,-73.9879824,40.74087265,1,1,0,0,1,1,0,0
146,2016,13858,-74.00928151,40.64265634,1,1,0,0,1,1,0,0
147,2016,33940,-73.81958778,40.67900661,1,0,0,1,1,0,0,1
148,2016,21381,-73.98961683,40.74727642,1,1,0,0,1,1,0,0
149,2016,12988,-73.98656942,40.59852397,1,1,0,0,1,1,0,0
150,2016,47622,-73.88033053,40.82130151,1,1,0,0,1,1,0,0
151,2016,26509,-73.91757589,40.65431417,1,1,0,0,1,1,0,0
152,2016,23785,-73.94659059,40.78069197,1,1,0,0,1,1,0,0
153,2016,33760,-73.82897169,40.68032655,1,1,0,0,1,1,0,0
154,2016,26515,-73.91530758,40.65422218,1,1,0,0,1,1,0,0
155,2016,40160,-73.74050336,40.70343356,1,1,0,0,1,1,0,0
156,2016,21346,-73.99163271,40.754706799999994,1,1,0,0,1,1,0,0
157,2016,21517,-73.98088709999999,40.75348099,1,1,0,0,1,1,0,0
158,2016,25714,-73.92249751,40.60980908,1,1,0,0,1,1,0,0
159,2016,43866,-73.9232728,40.83034478,1,1,0,0,1,1,0,0
160,2016,14995,-73.98630429,40.66917267,1,1,0,0,1,1,0,0
