FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,NODEID,Lon,Lat,STREET1,STREET2
211,1,211,1,1,0,0,2015,47860,-73.90278458,40.84441574,WEBSTER AVENUE,CROSS BRONX EXPWY ET 2 B EB
212,1,212,1,0,0,1,2015,40293,-73.73223896,40.68893666,119 AVENUE,231 STREET
213,1,213,1,1,0,0,2015,28701,-73.9023127,40.6451347,ROCKAWAY PARKWAY,GLENWOOD ROAD
214,1,214,1,1,0,0,2015,28911,-73.88941658,40.65698028,PENNSYLVANIA AVENUE,STANLEY AVENUE
215,1,215,1,0,1,0,2015,18568,-73.97918391,40.68312884,4 AVENUE,DEAN STREET
216,1,216,1,1,0,0,2015,60291,-73.78702028,40.78889197,CROSS ISLAND PARKWAY SR SOUTH,ESTATES LANE
217,1,217,1,0,1,0,2015,41382,-73.93781163,40.74989748,29 STREET,QUEENS PLAZA NORTH
218,1,218,1,1,0,0,2015,32794,-73.83753671,40.69135936,ATLANTIC AVENUE,108 STREET
219,1,219,1,1,0,0,2015,37046,-73.7977681,40.70914319,165 STREET,HILLSIDE AVENUE
220,1,220,1,1,0,0,2015,27722,-73.92280702,40.68992392,BROADWAY,LINDEN STREET
221,1,221,1,0,0,1,2015,15286,-74.00883196,40.71379595,CHURCH STREET,MURRAY STREET
222,1,222,1,1,0,0,2015,48627,-73.90657527,40.8798073,WEST 231 STREET,KINGSBRIDGE AVENUE
223,1,223,1,1,0,0,2015,20485,-73.99776286,40.71681393,CANAL STREET,MOTT STREET
224,1,224,1,0,0,1,2015,31859,-73.84487622,40.6802791,94 STREET,LIBERTY AVENUE
225,1,225,1,1,0,0,2015,5175,-74.12811697,40.55653444,HYLAN BOULEVARD,BUFFALO STREET
226,1,226,1,1,0,0,2015,27187,-73.9131168,40.67229297,PROSPECT PLACE,EASTERN PARKWAY
227,1,227,1,0,0,1,2015,43795,-73.92526764,40.84017587,WEST 169 STREET,OGDEN AVENUE
228,1,228,1,1,0,0,2015,44174,-73.91139306,40.83786275,EAST 170 STREET,MORRIS AVENUE
229,1,229,1,1,0,0,2015,28991,-73.8824124,40.64844056,PENNSYLVANIA AVENUE,TWIN PINES DRIVE
230,1,230,1,1,0,0,2015,21394,-73.98729377,40.75045161,WEST 35 STREET,AVENUE OF THE AMERICAS
231,1,231,1,0,0,1,2015,18961,-73.95310242,40.67179014,ST JOHNS PLACE,ROGERS AVENUE
232,1,232,1,0,0,1,2015,58451,-73.79802996,40.71735243,168 STREET,GRAND CENTRAL PARKWAY
233,1,233,1,1,0,0,2015,42827,-73.92513702,40.80585956,BRUCKNER BOULEVARD,WILLIS AVENUE BRIDGE
234,1,234,1,1,0,0,2015,13098,-73.9819384,40.57919971,STILLWELL AVENUE,NEPTUNE AVENUE
235,1,235,1,0,0,1,2015,30810,-73.84928643,40.58179355,BEACH CHANNEL DRIVE,BEACH 127 STREET
236,1,236,1,0,0,1,2015,36639,-73.77611753,40.66784573,159 STREET,NORTH CONDUIT AVENUE
237,1,237,1,0,0,1,2015,32363,-73.8582328,40.70559169,WOODHAVEN BOULEVARD,UNION TURNPIKE
238,1,238,1,1,0,0,2015,42533,-73.93678723,40.82481125,ADAM C POWELL BOULEVARD,WEST 150 STREET
239,1,239,1,0,0,1,2015,11802,-74.02263792,40.62948628,BAY RIDGE PARKWAY,5 AVENUE
240,1,240,1,0,0,1,2015,4469,-74.14140383,40.54641959,HYLAN BOULEVARD,GREAT KILLS ROAD
241,1,241,1,0,1,0,2015,42529,-73.93622694,40.82043825,LENOX AVENUE,WEST 145 STREET
242,1,242,1,0,0,1,2015,7939,-74.10687942,40.59037628,FOUR CORNERS ROAD,NORTHENTRY ROAD
243,1,243,1,0,0,1,2015,4870,-74.14116252,40.55355354,CRANFORD STREET,AMBOY ROAD
244,1,244,1,1,0,0,2015,21706,-73.98214146,40.77057074,BROADWAY,WEST 62 STREET
245,1,245,1,1,0,0,2015,46660,-73.88903996,40.76532104,ASTORIA BOULEVARD,ASTORIA BOULEVARD RAMP
246,1,246,1,1,0,0,2015,17615,-73.95740601,40.60913091,EAST 16 STREET,KINGS HIGHWAY
247,1,247,1,0,1,0,2015,34157,-73.80745271,40.67222239,SUTTER AVENUE,131 STREET
