NODEID,Lon,Lat
530,-74.23080985,40.50372918
531,-74.23084851,40.50190886
533,-74.22830437,40.50253537
534,-74.22839772,40.50280976
535,-74.2282043,40.50225127
536,-74.22935824,40.50565186
537,-74.23055752,40.50916606
538,-74.23006417,40.50775268
539,-74.23031806,40.50847872
540,-74.22991023,40.50855692
541,-74.22979971,40.5082131
542,-74.22890801,40.50838921
543,-74.22903309,40.50875012
544,-74.22914172,40.50945859
545,-74.22792686,40.50897941
546,-74.22779727,40.50762176
547,-74.22756408,40.50769317
548,-74.2276517,40.50819903
549,-74.230925,40.5102324
550,-74.23115526,40.51082139
551,-74.23012185,40.51190518
552,-74.22984743,40.5112258
553,-74.22957706,40.51053818
554,-74.22892165,40.51148247
555,-74.22819077,40.50965417
556,-74.22802001,40.51170402
557,-74.23043988,40.51268155
558,-74.23038104,40.51489988
559,-74.22948215,40.51292708
560,-74.22862119,40.51313743
561,-74.2277763,40.51335128
562,-74.2309377,40.51625573
563,-74.23001411,40.51649673
564,-74.22941708,40.5151637
565,-74.22920155,40.51674205
566,-74.2286157,40.51539368
567,-74.23091789,40.51833003
568,-74.23086794,40.52062715
569,-74.23031173,40.51883917
570,-74.22948214,40.51908398
571,-74.22958399,40.51961208
572,-74.22955367,40.51944849
574,-74.22951443,40.52058773
575,-74.22929901,40.51998323
576,-74.22866102,40.51972336
577,-74.22797503,40.52026125
578,-74.22672329,40.51916332
579,-74.23145268,40.52085854
580,-74.23047208,40.52104365
581,-74.22970542,40.5211881
582,-74.22993998,40.52198488
583,-74.22954725,40.52068867
584,-74.22877769,40.52122463
585,-74.22883734,40.5213594
586,-74.2280145,40.52097662
587,-74.22475631,40.50185824
588,-74.22452144,40.5020249
589,-74.22458254,40.50302026
591,-74.22761474,40.50573312
